County/Zone_NAME_STR,BEGIN_DATE,EVENT_TYPE,CZ_FIPS,BEGIN_LAT,BEGIN_LON,
RIVERSIDE COUNTY MOUNTAINS,11/1/2008,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,1/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,2/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,3/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,4/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,5/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,6/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,7/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,8/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,9/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,10/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,11/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,12/1/2009,Drought,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,08/26/2005,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,07/15/2010,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,5/1/2008,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,04/29/2008,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,08/21/2007,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,08/27/2009,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,04/25/2004,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,07/15/2013,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,8/7/2013,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,08/14/2012,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,7/11/2004,Wildfire,56,34.0231,-114.413,
RIVERSIDE COUNTY MOUNTAINS,10/26/2006,Wildfire,56,34.0231,-114.413,
SANTA MONICA MOUNTAINS RECREATION AREA,10/21/2007,Wildfire,46,34.1203,-118.9318,
SANTA MONICA MOUNTAINS RECREATION AREA,1/8/2007,Wildfire,46,34.1203,-118.9318,
SAN BERNARDINO,12/29/2004,Thunderstorm Wind,71,34.1431,-121.4691,
SAN BERNARDINO,7/5/2006,Thunderstorm Wind,71,35.1633,-121.4691,
SANTA LUCIA MOUNTAINS AND LOS PADRES NATIONAL FOREST,05/13/2013,Wildfire,517,36.0511,-116.82,
SANTA LUCIA MOUNTAINS AND LOS PADRES NATIONAL FOREST,08/22/2013,Wildfire,517,36.0511,-116.82,
SAN BERNARDINO,09/19/2006,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,6/9/2006,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,8/9/2004,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/13/2004,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,8/10/2004,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/13/2004,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,5/12/2004,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,07/22/2006,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,9/5/2006,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,7/9/2006,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/18/2013,Tornado,71,34.85722,-116.181197,
SAN BERNARDINO,6/1/2007,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,7/1/2007,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,8/1/2007,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,9/1/2007,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,10/1/2007,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,11/1/2007,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,12/1/2007,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,1/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,2/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,3/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,4/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,5/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,6/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,7/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,8/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,9/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,10/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,11/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,12/1/2009,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,10/26/2006,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,12/2/2006,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,08/20/2012,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,07/15/2010,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,05/20/2010,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,05/27/2009,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,9/2/2007,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,04/28/2007,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,1/5/2007,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,1/7/2007,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,09/22/2009,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,07/15/2010,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,09/22/2009,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,08/27/2009,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,10/22/2007,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,10/21/2007,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,9/6/2012,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,07/17/2010,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,07/15/2010,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,8/3/2010,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,8/1/2012,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,9/10/2007,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,6/1/2007,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,7/1/2007,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,8/1/2007,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,9/1/2007,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,10/1/2007,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,11/1/2007,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,12/1/2007,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,1/1/2008,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,06/17/2008,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,7/1/2008,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,8/1/2008,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,9/1/2008,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,10/1/2008,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,11/1/2008,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,1/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,2/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,3/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,4/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,5/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,6/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,7/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,8/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,9/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,10/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,11/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,12/1/2009,Drought,55,34.85722,-116.181197,
SAN BERNARDINO,09/24/2013,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,11/21/2006,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,6/9/2013,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/19/2013,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,06/25/2004,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/26/2010,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,7/3/2008,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,10/22/2007,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,9/1/2007,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,10/22/2007,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,9/7/2004,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,11/5/2012,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,9/1/2009,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,03/25/2004,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,9/1/2009,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,06/28/2013,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/29/2006,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,01/23/2006,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/31/2009,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,10/22/2007,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,1/12/2012,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/22/2011,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/27/2011,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,09/14/2007,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,08/30/2009,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,10/3/2009,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,10/22/2007,Wildfire,55,34.85722,-116.181197,
SAN BERNARDINO,1/1/2008,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,06/17/2008,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,7/1/2008,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,8/1/2008,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,9/1/2008,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,10/1/2008,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,11/1/2008,Drought,48,34.85722,-116.181197,
SAN BERNARDINO,06/17/2012,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,06/16/2012,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,8/8/2006,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,8/8/2006,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,11/15/2008,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,5/8/2007,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,3/1/2013,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,5/1/2013,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,5/2/2013,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,8/6/2011,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,09/16/2006,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,09/17/2006,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,9/5/2005,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,09/28/2005,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,8/12/2006,Wildfire,48,34.85722,-116.181197,
SAN BERNARDINO,06/22/2005,Wildfire,48,34.85722,-116.181197,
ALPINE,06/20/2008,Wildfire,3,38.61761,-119.798999,
PLUMAS,05/28/2009,Hail,63,39.99517,-120.629931,
SAN DIEGO,9/7/2013,Thunderstorm Wind,73,33.023604,-116.776117,
SAN DIEGO,9/5/2013,Thunderstorm Wind,73,33.023604,-116.776117,
SAN DIEGO,9/6/2013,Thunderstorm Wind,73,33.023604,-116.776117,
SAN DIEGO,9/5/2013,Thunderstorm Wind,73,33.023604,-116.776117,
SAN DIEGO,12/29/2004,Thunderstorm Wind,73,33.023604,-116.776117,
SAN DIEGO,12/29/2004,Thunderstorm Wind,73,33.023604,-116.776117,
SAN DIEGO,6/1/2007,Drought,43,33.023604,-116.776117,
SAN DIEGO,7/1/2007,Drought,43,33.023604,-116.776117,
SAN DIEGO,8/1/2007,Drought,43,33.023604,-116.776117,
SAN DIEGO,9/1/2007,Drought,43,33.023604,-116.776117,
SAN DIEGO,10/1/2007,Drought,43,33.023604,-116.776117,
SAN DIEGO,11/1/2007,Drought,43,33.023604,-116.776117,
SAN DIEGO,12/1/2007,Drought,43,33.023604,-116.776117,
SAN DIEGO,1/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,2/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,3/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,4/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,5/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,6/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,7/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,8/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,9/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,10/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,11/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,12/1/2009,Drought,43,33.023604,-116.776117,
SAN DIEGO,07/13/2010,Wildfire,43,33.023604,-116.776117,
SAN DIEGO,5/12/2009,Wildfire,43,33.023604,-116.776117,
SAN DIEGO,10/5/2013,Wildfire,43,33.023604,-116.776117,
SAN DIEGO,10/21/2007,Wildfire,43,33.023604,-116.776117,
SAN DIEGO,10/23/2007,Wildfire,43,33.023604,-116.776117,
SAN DIEGO,10/16/04,Drought,43,33.023604,-116.776117,
SAN DIEGO,1/1/2008,Drought,43,33.023604,-116.776117,
SAN DIEGO,06/17/2008,Drought,43,33.023604,-116.776117,
SAN DIEGO,7/1/2008,Drought,43,33.023604,-116.776117,
SAN DIEGO,8/1/2008,Drought,43,33.023604,-116.776117,
SAN DIEGO,9/1/2008,Drought,43,33.023604,-116.776117,
SAN DIEGO,10/1/2008,Drought,43,33.023604,-116.776117,
SAN DIEGO,11/1/2008,Drought,43,33.023604,-116.776117,
SAN DIEGO,10/13/2008,Wildfire,43,33.023604,-116.776117,
SAN DIEGO,6/1/2007,Drought,62,33.023604,-116.776117,
SAN DIEGO,7/1/2007,Drought,62,33.023604,-116.776117,
SAN DIEGO,8/1/2007,Drought,62,33.023604,-116.776117,
SAN DIEGO,9/1/2007,Drought,62,33.023604,-116.776117,
SAN DIEGO,10/1/2007,Drought,62,33.023604,-116.776117,
SAN DIEGO,11/1/2007,Drought,62,33.023604,-116.776117,
SAN DIEGO,12/1/2007,Drought,62,33.023604,-116.776117,
SAN DIEGO,1/1/2008,Drought,62,33.023604,-116.776117,
SAN DIEGO,06/17/2008,Drought,62,33.023604,-116.776117,
SAN DIEGO,7/1/2008,Drought,62,33.023604,-116.776117,
SAN DIEGO,8/1/2008,Drought,62,33.023604,-116.776117,
SAN DIEGO,9/1/2008,Drought,62,33.023604,-116.776117,
SAN DIEGO,10/1/2008,Drought,62,33.023604,-116.776117,
SAN DIEGO,11/1/2008,Drought,62,33.023604,-116.776117,
SAN DIEGO,1/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,2/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,3/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,4/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,5/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,6/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,7/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,8/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,9/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,10/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,11/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,12/1/2009,Drought,62,33.023604,-116.776117,
SAN DIEGO,6/1/2007,Drought,58,33.023604,-116.776117,
SAN DIEGO,7/1/2007,Drought,58,33.023604,-116.776117,
SAN DIEGO,8/1/2007,Drought,58,33.023604,-116.776117,
SAN DIEGO,9/1/2007,Drought,58,33.023604,-116.776117,
SAN DIEGO,10/1/2007,Drought,58,33.023604,-116.776117,
SAN DIEGO,11/1/2007,Drought,58,33.023604,-116.776117,
SAN DIEGO,12/1/2007,Drought,58,33.023604,-116.776117,
SAN DIEGO,1/1/2008,Drought,58,33.023604,-116.776117,
SAN DIEGO,06/17/2008,Drought,58,33.023604,-116.776117,
SAN DIEGO,7/1/2008,Drought,58,33.023604,-116.776117,
SAN DIEGO,8/1/2008,Drought,58,33.023604,-116.776117,
SAN DIEGO,9/1/2008,Drought,58,33.023604,-116.776117,
SAN DIEGO,10/1/2008,Drought,58,33.023604,-116.776117,
SAN DIEGO,11/1/2008,Drought,58,33.023604,-116.776117,
SAN DIEGO,1/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,2/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,3/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,4/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,5/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,6/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,7/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,8/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,9/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,10/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,11/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,12/1/2009,Drought,58,33.023604,-116.776117,
SAN DIEGO,8/12/2012,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,05/24/2012,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,10/14/2008,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,9/12/2007,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,7/1/2007,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,7/1/2007,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,10/21/2007,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,06/17/2012,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,7/6/2013,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,10/21/2007,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,10/1/2011,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,8/9/2012,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,9/6/2005,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,09/15/2007,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,10/23/2007,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,07/21/2011,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,09/23/2012,Wildfire,58,33.023604,-116.776117,
SAN DIEGO,6/1/2007,Drought,50,33.023604,-116.776117,
SAN DIEGO,7/1/2007,Drought,50,33.023604,-116.776117,
SAN DIEGO,8/1/2007,Drought,50,33.023604,-116.776117,
SAN DIEGO,9/1/2007,Drought,50,33.023604,-116.776117,
SAN DIEGO,10/1/2007,Drought,50,33.023604,-116.776117,
SAN DIEGO,11/1/2007,Drought,50,33.023604,-116.776117,
SAN DIEGO,12/1/2007,Drought,50,33.023604,-116.776117,
SAN DIEGO,1/1/2008,Drought,50,33.023604,-116.776117,
