Month,Day,Year,california,oregon,washington
6,6,2004,0.14,2.296,2.86499999999999
7,6,2004,0.299,0.099,0.445
8,6,2004,0.106,1.352,4.61199999999999
9,6,2004,0.1,0.007,0.001
10,6,2004,0.288,1.926,1.102
11,6,2004,0.045,0.002,0.409
12,6,2004,10.79,8.13199999999999,2.69899999999999
1,7,2004,5.13999999999999,4.34199999999999,4.31299999999999
2,7,2004,2.78299999999999,0.783000000000001,0.451
3,7,2004,0.048,0.142,2.742
4,7,2004,0.168,0.062,0.137
5,7,2004,0.616,2.068,1.399
6,7,2004,0.33,2.564,1.38
7,7,2004,0.144,0.0810000000000001,0.578
8,7,2004,0.083,0.014,0.144
9,7,2004,0.088,0.007,0.027
10,7,2004,0.208,0.07,0.105
11,7,2004,2.516,0,0.026
12,7,2004,20.771,7.06099999999999,5.06499999999999
1,8,2004,5.10999999999999,4.29299999999999,2.96999999999999
2,8,2004,0.122,0.157,0.102
3,8,2004,0.042,0.014,0.005
4,8,2004,0.231,0.02,0.189
5,8,2004,0.626,1.396,1.788
6,8,2004,0.535,2.787,1.443
7,8,2004,0.051,0.031,0.047
8,8,2004,0.006,0.011,0
9,8,2004,0.043,0.018,0.369
10,8,2004,1.114,5.442,7.42699999999999
11,8,2004,4.80599999999999,0,0
12,8,2004,25.87,14.25,5.493
1,9,2004,4.86899999999999,1.014,1.933
2,9,2004,0.03,0.069,0.036
3,9,2004,0.045,0.246,0.486
4,9,2004,0.253,0.007,0
5,9,2004,0.5,0.663,0.135
6,9,2004,0.636,2.18999999999999,1.504
7,9,2004,0.078,0.006,0.637
8,9,2004,0.033,0.008,0
9,9,2004,0.221,0.04,0.405
10,9,2004,1.478,1.271,2.655
11,9,2004,3.55299999999999,0.102,0
12,9,2004,15.185,8.00699999999999,4.858
1,10,2004,3.10299999999999,0.206,1.047
2,10,2004,0.05,0.012,0
3,10,2004,0.042,0.011,0
4,10,2004,0.051,0.035,0
5,10,2004,2.418,4.00099999999999,0.849000000000001
6,10,2004,0.39,1.094,1.319
7,10,2004,0.05,0.011,0.647
8,10,2004,0.028,0.001,0
9,10,2004,0.334,0.52,3.85
10,10,2004,0.429,0.002,0.066
11,10,2004,2.99599999999999,1.18,0.013
12,10,2004,1.216,2.168,10.665
1,11,2004,0.074,0.083,0.12
2,11,2004,0.07,0.072,0.002
3,11,2004,0.017,0.027,0
4,11,2004,0.024,0.022,0
5,11,2004,1.972,1.553,1.782
6,11,2004,0.167,0.065,0.118
7,11,2004,0.03,0.003,0.034
8,11,2004,0.006,0.011,0
9,11,2004,0.299,1.363,2.99499999999999
10,11,2004,0.178,0.01,0.003
11,11,2004,4.30799999999999,0.867000000000001,0
12,11,2004,0.215,2.536,1.025
1,12,2004,0.784,1.019,0.825000000000001
2,12,2004,0.098,0.098,0
3,12,2004,0.085,0.027,0.048
4,12,2004,0.018,0.301,0.264
5,12,2004,0.038,0.685,0.413
6,12,2004,0.189,0.172,1.812
7,12,2004,0.025,0.061,0
8,12,2004,0.231,0.002,0.004
9,12,2004,0.2,0.744000000000001,0.779000000000001
10,12,2004,0.17,0.024,0.003
11,12,2004,2.92699999999999,0.445,0.454
12,12,2004,0.281,0.461,0.453
1,13,2004,0.909000000000001,0.294,1.042
2,13,2004,1.398,1.456,0.663
3,13,2004,0.118,0.01,0.033
4,13,2004,0.416,2.456,2.06
5,13,2004,0.002,0.036,0.367
6,13,2004,0.204,0.641,1.525
7,13,2004,0.098,0.075,0.249
8,13,2004,0.585,0.045,0
9,13,2004,0.131,2.972,4.749
10,13,2004,0.032,0.027,0
11,13,2004,0.638,0.074,0.189
12,13,2004,0.869000000000001,2.468,3.99999999999999
1,14,2004,3.3,3.304,3.257
2,14,2004,2.56399999999999,2.77999999999999,2.27999999999999
3,14,2004,0.048,0.527,0.694000000000001
4,14,2004,2.044,5.36599999999999,2.143
5,14,2004,0.003,0.01,0.05
6,14,2004,0.344,0.022,0.383
7,14,2004,0.189,0.047,0.006
8,14,2004,0.663,0.862000000000001,0.101
9,14,2004,0.136,0.433,1.834
10,14,2004,0.041,0.003,0.003
11,14,2004,0.483,0.006,0.57
12,14,2004,0.773000000000001,1.014,3.198
1,15,2004,3.28099999999999,0.905000000000001,2.64599999999999
2,15,2004,5.40699999999999,1.251,1.587
3,15,2004,0.016,0.026,0.001
4,15,2004,2.15799999999999,2.41099999999999,2.10499999999999
5,15,2004,0.027,1.344,0.875000000000001
6,15,2004,0.41,0.032,0
7,15,2004,0.248,0.05,0.004
8,15,2004,0.613,0.710000000000001,0.027
9,15,2004,0.128,1.53,2.943
10,15,2004,0.103,0.037,0.804000000000001
11,15,2004,0.369,1.249,2.601
12,15,2004,0.206,0.001,0.008
1,16,2004,0.141,0.105,0.03
2,16,2004,16.136,9.333,4.59999999999999
3,16,2004,0.065,0.018,0.107
4,16,2004,1.517,1.676,1.461
5,16,2004,0.036,0.197,1.906
6,16,2004,0.373,0.029,0.001
7,16,2004,0.481,0.022,0
8,16,2004,0.388,2.161,0.111
9,16,2004,0.124,0.401,2.087
10,16,2004,0.811000000000001,1.205,4.08499999999999
11,16,2004,0.313,0.292,0.999000000000001
12,16,2004,0.3,0.034,0.08
1,17,2004,0.113,0.466,0.57
2,17,2004,25.495,8.81899999999999,4.30599999999999
3,17,2004,0.144,0.023,0.587
4,17,2004,2.03699999999999,0.920000000000001,0.732000000000001
5,17,2004,0.906000000000001,3.207,0.956000000000001
6,17,2004,0.43,0.014,0.133
7,17,2004,0.691,0.087,0.003
8,17,2004,0.115,0.759,0.65
9,17,2004,0.178,3.47299999999999,3.932
10,17,2004,10.456,8.85599999999999,8.128
11,17,2004,0.253,0.257,0.866000000000001
12,17,2004,0.35,0.038,0.075
1,18,2004,0.248,1.904,1.81899999999999
2,18,2004,20.495,2.81899999999999,1.489
3,18,2004,0.117,0.969000000000001,2.814
4,18,2004,2.78399999999999,1.572,1.207
5,18,2004,1.331,4.43299999999999,1.058
6,18,2004,0.363,0.055,0.104
7,18,2004,0.5,0.708000000000001,1.798
8,18,2004,0.071,0.035,1.071
9,18,2004,0.281,2.509,2.272
10,18,2004,11.688,3.24499999999999,1.855
11,18,2004,0.122,1.238,3.57899999999999
12,18,2004,0.344,0.034,0
1,19,2004,0.644,1.828,0.908000000000001
2,19,2004,7.08199999999999,0.102,0.203
3,19,2004,0.038,0.189,0.811000000000001
4,19,2004,3.68299999999999,3.04599999999999,2.50499999999999
5,19,2004,0.797000000000001,0.783000000000001,1.877
6,19,2004,0.131,0.175,0.212
7,19,2004,0.484,1.762,1.489
8,19,2004,0.3,0.623,0.516
9,19,2004,1.538,2.25999999999999,0.975000000000001
10,19,2004,22.388,4.65299999999999,3.094
11,19,2004,0.071,0.138,0.078
12,19,2004,0.534,0.074,0.546
1,20,2004,1.082,0.048,0.015
2,20,2004,2.29399999999999,0.031,0.007
3,20,2004,0.006,0.027,0
4,20,2004,3.90899999999999,5.05899999999999,2.514
5,20,2004,1.026,1.583,1.808
6,20,2004,0.05,0.025,0.019
7,20,2004,0.366,0.014,0.403
8,20,2004,0.689,0.073,0.156
9,20,2004,1.47199999999999,0.273,0.118
10,20,2004,29.852,1.755,0.835000000000001
11,20,2004,0.187,0.041,0.001
12,20,2004,0.47,0.018,0.147
1,21,2004,0.776000000000001,0.047,0.034
2,21,2004,4.93699999999998,0.251,0.016
3,21,2004,0.026,0.011,0.1
4,21,2004,3.176,4.588,1.194
5,21,2004,1.216,1.595,2.339
6,21,2004,0.024,0.023,0.061
7,21,2004,0.021,0.01,0
8,21,2004,0.882000000000001,1.454,3.884
9,21,2004,0.143,0.002,0
10,21,2004,10.487,0.902000000000001,0.973000000000001
11,21,2004,2.599,0.012,0.108
12,21,2004,0.233,0.373,0.508
1,22,2004,0.215,0.673,2.102
2,22,2004,12.48,1.307,0.256
3,22,2004,0.139,0.235,0.17
4,22,2004,1.198,0.067,0
5,22,2004,0.665,3.084,4.18
6,22,2004,0.072,0.018,0.013
7,22,2004,0.045,0.014,0
8,22,2004,0.882,7.88199999999999,4.721
9,22,2004,0.085,0.004,0.597
10,22,2004,2.505,4.65099999999999,2.23199999999999
11,22,2004,2.69799999999999,0.055,0.456
12,22,2004,0.223,0.0910000000000001,0.024
1,23,2004,1.896,9.56199999999999,4.17999999999999
2,23,2004,12.2,1.521,0.783000000000001
3,23,2004,0.131,0.195,0.672
4,23,2004,0.003,0.051,0.473
5,23,2004,0.157,1.195,1.231
6,23,2004,0.178,0.044,0
7,23,2004,0.091,0.009,0
8,23,2004,0.558,1.97299999999999,0.943000000000001
9,23,2004,0.037,0.027,0.008
10,23,2004,5.33399999999999,3.36999999999999,1.17
11,23,2004,0.267,0.68,1.83299999999999
12,23,2004,0.238,0.016,0
1,24,2004,2.58599999999999,3.753,2.82699999999999
2,24,2004,5.04999999999998,2.548,2.79299999999999
3,24,2004,0.348,2.386,3.92099999999999
4,24,2004,0.003,0.023,0
5,24,2004,0.055,0.036,0.495
6,24,2004,0.263,0.514,0.213
7,24,2004,0.135,0.026,0
8,24,2004,0.251,2.236,9.544
9,24,2004,0.008,0.004,0
10,24,2004,4.202,0.149,0.38
11,24,2004,0.187,1.555,7.991
12,24,2004,0.244,0.03,0.079
1,25,2004,0.760000000000001,1.474,1.103
2,25,2004,24.645,4.75399999999999,3.82699999999999
3,25,2004,6.93999999999999,4.57899999999999,4.36099999999999
4,25,2004,0,0.009,0
5,25,2004,0.166,0.263,1.389
6,25,2004,0.255,0.265,0.511
7,25,2004,0.161,0.092,0
8,25,2004,0.427,4.901,7.19999999999999
9,25,2004,0.009,0.019,0
10,25,2004,4.333,3.792,2.15
11,25,2004,1.462,4.13799999999999,1.644
12,25,2004,0.789,2.559,4.39699999999999
1,26,2004,2.692,3.68499999999999,2.538
2,26,2004,31.194,3.29499999999999,2.106
3,26,2004,8.773,4.29199999999999,3.44899999999999
4,26,2004,0,0.013,0
5,26,2004,0.295,3.487,3.01499999999999
6,26,2004,0.183,0.023,1.135
7,26,2004,0.113,0.008,0
8,26,2004,0.377,1.458,2.65099999999999
9,26,2004,0.024,0.04,0.001
10,26,2004,14.662,4.39599999999999,0.774
11,26,2004,3.16199999999999,0.48,0.721
12,26,2004,5.03999999999999,2.05299999999999,1.896
1,27,2004,8.32499999999999,5.56499999999999,1.231
2,27,2004,10.404,2.022,1.621
3,27,2004,2.488,1.081,1.362
4,27,2004,0,0.0740000000000001,0.977000000000001
5,27,2004,1.346,6.93599999999999,4.66999999999999
6,27,2004,0.189,0.016,0.091
7,27,2004,0.086,0.045,0
8,27,2004,0.067,0.018,0.293
9,27,2004,0.03,0.032,0
10,27,2004,14.815,2.70599999999999,0
11,27,2004,6.35799999999999,1.384,0.901000000000001
12,27,2004,17.784,0.292,0
1,28,2004,6.046,7.095,5.80899999999999
2,28,2004,1.384,0.294,0.539
3,28,2004,0.327,0,0
4,28,2004,0.004,0.468,0.486
5,28,2004,2.27899999999999,4.16399999999999,2.356
6,28,2004,0.54,0.63,0.126
7,28,2004,0.094,0.036,0.006
8,28,2004,0.007,0,0.27
9,28,2004,0.141,0.014,0
10,28,2004,5.54699999999999,1.624,0.065
11,28,2004,4.516,0.093,0.002
12,28,2004,32.175,2.00499999999999,0.044
1,29,2004,0.758,5.36799999999999,9.789
2,29,2004,1.992,2.7,0.987000000000001
3,29,2004,0.153,0.277,0.245
4,29,2004,0.01,0.047,0
5,29,2004,1.112,0.305,1.104
6,29,2004,1.073,0.325,0.119
7,29,2004,0.067,0.011,0.012
8,29,2004,0.006,0.007,0.015
9,29,2004,0.525,0.114,0.005
10,29,2004,1.449,0.363,1.866
11,29,2004,0.041,0.573,0.901000000000001
12,29,2004,29.52,2.91399999999999,2.75799999999999
1,30,2004,1.88,4.99399999999999,4.52499999999999
3,30,2004,0.816000000000001,2.11299999999999,1.773
4,30,2004,0.006,0.079,0
5,30,2004,0.109,0.524,2.185
6,30,2004,0.879000000000001,1.01,0.159
7,30,2004,0.032,0.019,0
8,30,2004,0.007,0.005,0.001
9,30,2004,0.886000000000001,0.014,0
10,30,2004,0.208,1.963,2.226
11,30,2004,0.084,1.583,0.971000000000001
12,30,2004,23.899,2.17999999999999,1.395
1,31,2004,1.693,1.75,2.55499999999999
3,31,2004,0.678,0.193,0.252
5,31,2004,0.08,0.068,0.046
7,31,2004,0.115,0.042,0
8,31,2004,0.041,0.014,0.123
10,31,2004,0.205,0.528,0.527
12,31,2004,23.663,2.91199999999999,1.246
1,1,2005,14.031,3.389,1.497
2,1,2005,0.087,0.015,0.052
3,1,2005,4.71099999999999,1.266,1.283
4,1,2005,0.146,2.387,4.162
5,1,2005,1.223,1.201,0.432
6,1,2005,0.083,1.024,1.156
7,1,2005,0.092,0.001,0.078
8,1,2005,0.565,0.328,0.147
9,1,2005,0.021,0.018,0.15
10,1,2005,0.997000000000001,7.79699999999999,2.235
11,1,2005,0.878000000000001,4.64,5.451
12,1,2005,23.424,9.302,2.64999999999999
1,2,2005,9.93799999999998,0.783000000000001,0.028
2,2,2005,0.137,0.038,0.038
3,2,2005,3.60499999999999,0.841000000000001,0.900000000000001
4,2,2005,0.289,0.863000000000001,1.531
5,2,2005,0.511,0.729000000000001,0.737000000000001
6,2,2005,0.08,0.12,0.36
7,2,2005,0.036,0.023,0.234
8,2,2005,0.528,0.052,0
9,2,2005,0.022,0.005,0.005
10,2,2005,1.403,2.146,2.315
11,2,2005,1.606,1.85499999999999,1.277
12,2,2005,23.79,4.43599999999999,1.89299999999999
1,3,2005,12.954,0.019,0
2,3,2005,0.095,0.019,0.033
3,3,2005,1.677,0.122,0.015
4,3,2005,6.05299999999999,5.12999999999999,3.38599999999999
5,3,2005,0.865000000000001,1.532,0.269
6,3,2005,0.109,0.015,0.057
7,3,2005,0.051,0,0
8,3,2005,0.337,0.041,0
9,3,2005,0.022,0.006,0.042
10,3,2005,0.948000000000001,1.315,2.071
11,3,2005,6.611,9.05999999999999,5.97399999999999
12,3,2005,4.84899999999999,2.444,0.746
1,4,2005,8.35499999999998,0.019,0.001
2,4,2005,0.106,1.215,3.144
3,4,2005,4.29599999999999,0.248,0.074
4,4,2005,6.29499999999999,1.057,0.943000000000001
5,4,2005,4.09799999999999,2.58099999999999,2.11599999999999
6,4,2005,0.151,0.185,0.055
7,4,2005,0.129,0,0.003
8,4,2005,0.269,0.033,0
9,4,2005,0.025,0.027,0.299
10,4,2005,0.483,0.224,0.182
11,4,2005,6.214,3.35299999999999,4.10699999999999
12,4,2005,0.115,0.168,0.093
1,5,2005,2.24499999999999,0.024,0
2,5,2005,0.137,0.374,0.641
3,5,2005,4.38899999999999,0.055,0.1
4,5,2005,0.482,0.607,1.283
5,5,2005,10.664,3.33199999999999,0.229
6,5,2005,0.325,3.474,3.816
7,5,2005,0.177,0.288,2.358
8,5,2005,0.608,0.022,0
9,5,2005,0.081,0.003,0
10,5,2005,0.025,0.149,0.296
11,5,2005,3.15,9.854,6.16099999999999
12,5,2005,0.04,0.035,0.36
1,6,2005,0.830000000000001,1.239,2.108
2,6,2005,0.812000000000001,2.731,3.125
3,6,2005,1.182,0.037,0.099
4,6,2005,0.904,0.701,0.571
5,6,2005,8.94799999999998,4.816,0.496
6,6,2005,0.841000000000001,2.89599999999999,1.219
7,6,2005,0.138,0.483,1.33
8,6,2005,1.39,0.02,0
9,6,2005,0.086,0.047,0
10,6,2005,0.114,0.278,2.649
11,6,2005,8.162,5.31299999999999,1.415
12,6,2005,0.059,0.051,0.047
1,7,2005,17.142,5.58399999999999,5.079
2,7,2005,1.64799999999999,0.469,0
3,7,2005,0.131,0.013,0.266
4,7,2005,3.99999999999999,3.553,3.768
5,7,2005,2.96299999999999,1.322,0.321
6,7,2005,0.931000000000001,1.293,1.569
7,7,2005,0.07,0.004,0.052
8,7,2005,1.25,0.041,0
9,7,2005,0.049,0.049,0
10,7,2005,0.261,0.436,0.862000000000001
11,7,2005,15.026,6.27199999999999,1.706
12,7,2005,2.696,1.587,0.104
1,8,2005,31.896,3.78799999999999,2.362
2,8,2005,1.01,0.058,0
3,8,2005,0.022,0.042,0.236
4,8,2005,10.64,2.58699999999999,0.158
5,8,2005,9.77699999999999,5.49399999999999,3.00299999999999
6,8,2005,4.044,0.08,0.479
7,8,2005,0.112,1.757,5.061
8,8,2005,0.485,0.036,0
9,8,2005,0.101,0.026,0.096
10,8,2005,0.331,0.868000000000001,0.966000000000001
11,8,2005,11.932,0.283,0.503
12,8,2005,3.35799999999999,0.076,0
1,9,2005,27.93,2.70899999999999,0.885000000000001
2,9,2005,0.123,0.012,0
3,9,2005,0.026,0.013,0.924000000000001
4,9,2005,7.908,0.366,0.037
5,9,2005,13.944,6.447,7.156
6,9,2005,5.31599999999999,0.156,0.014
7,9,2005,0.168,1.779,0.872000000000001
8,9,2005,0.427,0.014,0.016
9,9,2005,0.18,0.991000000000001,1.336
10,9,2005,0.178,0.234,0.153
11,9,2005,3.42299999999999,0.036,0.253
12,9,2005,0.860000000000001,0.081,0
1,10,2005,22.12,0.529,0.237
2,10,2005,0.829000000000001,0.007,0
3,10,2005,0.067,0.029,0
4,10,2005,0.554,1.417,1.977
5,10,2005,5.70499999999999,4.061,2.20199999999999
6,10,2005,1.90299999999999,0.985000000000001,0.336
7,10,2005,0.098,0.542,0.886000000000001
8,10,2005,0.336,0.027,0.038
9,10,2005,0.15,1.384,2.72499999999999
10,10,2005,0.051,0.324,1.891
11,10,2005,1.471,0.943000000000001,1.641
12,10,2005,0.217,0.015,0
1,11,2005,14.67,0.638,0.541
2,11,2005,9.293,0.072,0.026
3,11,2005,0.088,0.021,0.018
4,11,2005,0.419,1.525,2.973
5,11,2005,0.431,0.499,0.104
6,11,2005,0.38,0.463,1.333
7,11,2005,0.124,0.204,0.808
8,11,2005,0.319,0.013,0.148
9,11,2005,0.094,0.106,0.999000000000001
10,11,2005,0.072,0.337,0.011
11,11,2005,0.695,2.384,4.11499999999999
12,11,2005,0.072,0.051,0
1,12,2005,5.42299999999998,0.725000000000001,1.567
2,12,2005,10.342,3.01399999999999,1.334
3,12,2005,0.07,0.015,0.006
4,12,2005,1.045,2.79199999999999,2.277
5,12,2005,0.11,0.037,0.012
6,12,2005,0.116,0.168,0.49
7,12,2005,0.168,0,0.043
8,12,2005,0.306,0.007,0.014
9,12,2005,0.076,0.119,0.405
10,12,2005,0.179,0.127,1.926
11,12,2005,0.338,3.226,1.488
12,12,2005,0.199,0.048,0.161
1,13,2005,0.107,0.174,0.386
2,13,2005,6.15799999999999,1.53599999999999,0.931000000000001
3,13,2005,0.165,0.017,0.002
4,13,2005,1.676,2.37799999999999,1.112
5,13,2005,0.694000000000001,3.36899999999999,0.298
6,13,2005,0.083,0.314,0.686
7,13,2005,0.134,0.006,0.115
8,13,2005,0.05,0.021,0
9,13,2005,0.046,0.102,0
10,13,2005,0.185,0.272,0.418
11,13,2005,1.619,5.79799999999999,3.73699999999999
12,13,2005,0.228,0.077,0.034
1,14,2005,0.177,0.396,0.016
2,14,2005,5.80899999999999,0.072,0.469
3,14,2005,0.18,0.038,0
4,14,2005,0.973000000000001,0.319,0.567
5,14,2005,0.841000000000001,1.759,2.41299999999999
6,14,2005,0.084,0.05,0.509
7,14,2005,0.084,0,0
8,14,2005,0.251,0.042,0
9,14,2005,0.154,0.104,0.028
10,14,2005,0.941000000000001,1.444,2.284
11,14,2005,1.73499999999999,0.744000000000001,0.161
12,14,2005,0.058,0.017,0.001
1,15,2005,0.311,3.03799999999999,3.25899999999999
2,15,2005,6.32699999999999,0.021,0
3,15,2005,0.05,0.043,0
4,15,2005,0.135,1.06,3.415
5,15,2005,4.15,6.589,4.96099999999999
6,15,2005,0.081,0.004,0.036
7,15,2005,0.072,0,0.439
8,15,2005,1.411,0.018,0
9,15,2005,0.134,0.139,0.244
10,15,2005,1.831,2.198,0.661
11,15,2005,0.313,0.079,0.152
12,15,2005,0.063,0.02,0
1,16,2005,0.439,1.035,1.594
2,16,2005,6.99699999999999,0.001,0
3,16,2005,0.02,1.72,3.073
4,16,2005,0.712000000000001,4.28399999999999,4.625
5,16,2005,7.69999999999999,3.80099999999999,2.382
6,16,2005,3.593,3.122,2.094
7,16,2005,0.052,0.001,0.205
8,16,2005,1.544,0.04,0.063
9,16,2005,0.17,0.956000000000001,1.522
10,16,2005,1.855,0.207,1.702
11,16,2005,0.087,0.014,0.158
12,16,2005,0.069,0.01,0
1,17,2005,0.469,2.971,16.344
2,17,2005,5.06399999999998,0.027,0
3,17,2005,0.03,0.692,0.371
4,17,2005,0.859000000000001,2.29899999999999,1.724
5,17,2005,7.88899999999999,2.39399999999999,1.758
6,17,2005,6.50299999999999,2.33199999999999,3.195
7,17,2005,0.087,0.005,0
8,17,2005,0.496,0.244,2.498
9,17,2005,0.297,0.208,0.072
10,17,2005,3.64499999999999,0.069,1.472
11,17,2005,0.021,0.06,0
12,17,2005,1.435,0.066,0
1,18,2005,0.298,1.364,8.24499999999999
2,18,2005,12.214,0.427,0
3,18,2005,3.55999999999999,0.294,0.579
4,18,2005,0.469,0.840000000000001,0.543
5,18,2005,11.162,5.87599999999999,5.26199999999999
6,18,2005,4.964,1.327,1.177
7,18,2005,0.098,0,0
8,18,2005,0.223,0.013,0.042
9,18,2005,0.167,0.015,0.005
10,18,2005,4.41199999999999,0.283,0.297
11,18,2005,0.024,0.042,0
12,18,2005,16.828,4.17799999999999,0.34
1,19,2005,0.138,0.009,3.225
2,19,2005,17.493,2.405,0.03
3,19,2005,13.332,5.01399999999999,5.46099999999999
4,19,2005,0.665,0.37,0.058
5,19,2005,7.767,2.067,2.43899999999999
6,19,2005,2.49399999999999,0.352,0.202
7,19,2005,0.022,0.002,0
8,19,2005,0.175,0.078,0
9,19,2005,0.136,0.019,0.05
10,19,2005,1.89899999999999,1.565,3.70699999999999
11,19,2005,0.042,0.019,0
12,19,2005,21.199,9.436,2.85299999999999
1,20,2005,0.119,0.22,2.112
2,20,2005,16.008,2.56599999999999,0.134
3,20,2005,16.892,3.64399999999999,5.04699999999999
4,20,2005,0.495,0.698,0.021
5,20,2005,1.111,3.049,2.374
6,20,2005,0.482,0.012,0
7,20,2005,0.015,0.011,0
8,20,2005,0.165,0.035,0
9,20,2005,2.283,0.013,0.003
10,20,2005,0.257,0.217,0.261
11,20,2005,0.068,0.04,0
12,20,2005,10.115,2.25699999999999,5.70899999999999
1,21,2005,0.125,0.041,0.368
2,21,2005,17.039,0.025,0
3,21,2005,13.11,1.366,0.646
4,21,2005,0.114,2.129,0.067
5,21,2005,0.429,0.970000000000001,1.187
6,21,2005,0.108,0.208,0.471
7,21,2005,0.259,0.356,0.052
8,21,2005,0.089,0.495,0
9,21,2005,2.184,0.046,0
10,21,2005,0.077,0.08,0.005
11,21,2005,0.06,0.043,0
12,21,2005,14.571,6.84599999999999,5.90199999999999
1,22,2005,0.202,0.267,4.35899999999999
2,22,2005,13.932,0.061,0
3,22,2005,20.801,4.02999999999999,0.194
4,22,2005,0.61,0.488,0.142
5,22,2005,0.105,0.298,1.163
6,22,2005,0.223,0.148,0.842000000000001
7,22,2005,0.455,0.341,2.573
8,22,2005,0.001,0.065,0.045
9,22,2005,0.04,0.168,0.005
10,22,2005,0.046,0.038,0.103
11,22,2005,0.046,0.026,0
12,22,2005,18.656,6.00999999999999,8.475
1,23,2005,0.272,0.012,0.37
2,23,2005,7.22199999999998,0.014,0
3,23,2005,18.509,1.89799999999999,0.554
4,23,2005,2.35399999999999,3.144,1.859
5,23,2005,0.07,0.032,0.322
6,23,2005,0.185,0.012,0
7,23,2005,0.531,0.003,0
8,23,2005,0,0.054,0.15
9,23,2005,0.228,1.302,0
10,23,2005,0.029,0.061,0.341
11,23,2005,0.053,0.056,0
12,23,2005,8.49199999999998,0.927,6.425
1,24,2005,0.606,0.01,0.012
2,24,2005,3.09599999999998,0.033,0
3,24,2005,4.40099999999999,1.331,0.692
4,24,2005,2.34399999999999,2.564,1.045
5,24,2005,0.129,0.015,0.086
6,24,2005,0.109,0.067,0.223
7,24,2005,1.162,0.01,0
8,24,2005,0.053,0.053,0
9,24,2005,0.198,0.265,0
10,24,2005,0.207,0.068,0
11,24,2005,1.418,1.236,1.213
12,24,2005,0.394,0.986,5.89099999999999
1,25,2005,3.89099999999999,0.424,0.139
2,25,2005,1.42899999999999,0.068,0
3,25,2005,0.826000000000001,0.591,0.224
4,25,2005,0.567,1.128,0.303
5,25,2005,0.238,0.015,0
6,25,2005,0.502,0.109,0.078
7,25,2005,1.097,0.004,0
8,25,2005,0.118,0.025,0
9,25,2005,0.006,0.107,0
10,25,2005,1.356,1.97,1.783
11,25,2005,7.24299999999999,7.34099999999999,4.50899999999999
12,25,2005,7.326,4.77799999999999,4.80599999999999
1,26,2005,12.72,1.985,1.399
2,26,2005,1.481,0.048,0
3,26,2005,0.442,8.444,11.403
4,26,2005,0.307,0.461,0.101
5,26,2005,0.134,0.031,0
6,26,2005,0.525,1.3,1.843
7,26,2005,0.298,0.003,0
8,26,2005,0.176,0.123,0
9,26,2005,0.657,0.033,0
10,26,2005,2.47699999999999,1.45,0.739
11,26,2005,5.918,1.098,0.704000000000001
12,26,2005,12.476,3.88799999999999,3.23799999999999
1,27,2005,11.566,0.152,0.308
