CZ_NAME_STR,BEGIN_DATE,EVENT_TYPE,CZ_FIPS,BEGIN_LAT,BEGIN_LON
UNION,7/6/2006,Hail,61,45.48,-117.97
UNION,08/16/2013,Hail,61,45.62,-117.99
UNION,08/16/2013,Thunderstorm Wind,61,45.62,-117.99
UNION,07/19/2011,Hail,61,45.28,-118,00
UNION,08/16/2013,Hail,61,45.55,-118.03
UNION,7/4/2006,Hail,61,45.57,-118.03
UMATILLA,6/4/2006,Hail,59,45.82,-118.03
UNION,07/29/2010,Hail,61,45.26,-118.05
UNION,05/21/2006,Hail,61,45.48,-118.05
UNION,05/21/2006,Hail,61,45.48,-118.05
UNION,8/5/2010,Hail,61,45.35,-118.06
UNION,7/7/2012,Thunderstorm Wind,61,45.49,-118.06
UNION,07/18/2012,Hail,61,45.31,-118.08
UNION,8/2/2004,Thunderstorm Wind,61,45.33,-118.08
UNION,05/19/2006,Hail,61,45.33,-118.08
UNION,06/30/2008,Thunderstorm Wind,61,45.33,-118.08
UNION,07/19/2004,Thunderstorm Wind,61,45.33,-118.08
UNION,06/28/2010,Hail,61,45.31,-118.09
UNION,07/19/2011,Thunderstorm Wind,61,45.33,-118.1
UNION,07/18/2012,Hail,61,45.39,-118.1
UMATILLA,05/19/2006,Hail,59,45.78,-118.1
UNION,05/19/2006,Hail,61,45.32,-118.12
BAKER,07/16/2011,Hail,1,44.87,-118.13
UMATILLA,08/31/2007,Hail,59,45.8,-118.13
UMATILLA,6/4/2006,Hail,59,45.8,-118.13
UNION,07/19/2011,Hail,61,45.3,-118.14
UNION,07/18/2012,Hail,61,45.35,-118.15
UMATILLA,07/20/2012,Hail,59,45.78,-118.15
UMATILLA,06/21/2005,Hail,59,45.8,-118.18
UMATILLA,07/20/2012,Hail,59,45.72,-118.19
BAKER,6/4/2006,Thunderstorm Wind,1,44.92,-118.2
BAKER,8/10/2006,Thunderstorm Wind,1,44.92,-118.2
BAKER,07/19/2004,Thunderstorm Wind,1,44.92,-118.23
UMATILLA,07/20/2012,Hail,59,45.8,-118.23
UMATILLA,07/20/2012,Hail,59,45.8,-118.23
HARNEY,6/3/2009,Hail,25,42.28,-118.24
UNION,7/5/2009,Hail,61,45.35,-118.25
UNION,07/16/2011,Hail,61,45.36,-118.26
UMATILLA,07/16/2011,Hail,59,45.73,-118.27
UMATILLA,06/29/2004,Hail,59,45.88,-118.32
UMATILLA,9/5/2013,Thunderstorm Wind,59,45.92,-118.37
UNION,05/29/2009,Hail,61,45.37,-118.38
UMATILLA,8/4/2004,Hail,59,45.93,-118.38
UMATILLA,8/4/2004,Hail,59,45.93,-118.38
UNION,07/17/2012,Hail,61,45.26,-118.39
UMATILLA,03/20/2013,Thunderstorm Wind,59,45.88,-118.39
UMATILLA,9/5/2013,Thunderstorm Wind,59,45.93,-118.39
UNION,07/19/2004,Hail,61,45.17,-118.4
UNION,8/4/2004,Hail,61,45.22,-118.4
UNION,7/5/2006,Hail,61,45.22,-118.4
UNION,7/5/2006,Hail,61,45.22,-118.4
GRANT,9/1/2004,Hail,23,44.83,-118.42
UMATILLA,08/31/2007,Thunderstorm Wind,59,45.82,-118.43
UMATILLA,7/4/2006,Hail,59,45.5,-118.45
UMATILLA,06/30/2008,Thunderstorm Wind,59,45.57,-118.46
UMATILLA,07/20/2012,Hail,59,45.55,-118.47
GRANT,8/2/2004,Hail,23,44.6,-118.48
UMATILLA,6/4/2006,Hail,59,45.55,-118.5
UMATILLA,9/5/2013,Thunderstorm Wind,59,45.96,-118.5
UMATILLA,5/6/2009,Hail,59,45.72,-118.51
UMATILLA,8/4/2004,Hail,59,45.67,-118.52
UMATILLA,5/6/2009,Tornado,59,45.72,-118.52
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.98,-118.52
UMATILLA,07/19/2004,Thunderstorm Wind,59,45.07,-118.55
UMATILLA,8/4/2004,Hail,59,45.48,-118.6
UMATILLA,06/30/2008,Thunderstorm Wind,59,45.52,-118.62
UMATILLA,06/21/2008,Thunderstorm Wind,59,45.68,-118.63
UMATILLA,5/6/2009,Hail,59,45.73,-118.63
HARNEY,04/20/2010,Thunderstorm Wind,25,43.47,-118.65
UMATILLA,04/17/2010,Hail,59,45.67,-118.65
UMATILLA,4/4/2013,Thunderstorm Wind,59,45.95,-118.65
UMATILLA,7/12/2009,Hail,59,45.15,-118.66
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.85,-118.66
HARNEY,6/3/2009,Hail,25,42.26,-118.67
GRANT,07/13/2007,Hail,23,44.52,-118.67
UMATILLA,07/19/2004,Hail,59,45.15,-118.67
UMATILLA,7/5/2006,Hail,59,45.17,-118.67
HARNEY,8/5/2007,Thunderstorm Wind,25,42.27,-118.68
GRANT,07/13/2007,Hail,23,44.47,-118.7
GRANT,8/10/2006,Thunderstorm Wind,23,44.48,-118.7
UMATILLA,06/30/2008,Thunderstorm Wind,59,45.13,-118.72
GRANT,07/19/2004,Hail,23,44.38,-118.75
UMATILLA,05/17/2010,Thunderstorm Wind,59,45.66,-118.78
UMATILLA,06/30/2008,Thunderstorm Wind,59,45.43,-118.8
UMATILLA,5/6/2009,Thunderstorm Wind,59,45.66,-118.8
UMATILLA,04/17/2010,Hail,59,45.67,-118.8
UMATILLA,06/30/2008,Thunderstorm Wind,59,45.66,-118.81
UMATILLA,06/30/2008,Thunderstorm Wind,59,45.67,-118.81
UMATILLA,4/4/2013,Thunderstorm Wind,59,45.67,-118.82
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.67,-118.82
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.67,-118.82
UMATILLA,05/17/2010,Thunderstorm Wind,59,45.81,-118.82
GRANT,5/8/2004,Hail,23,44.42,-118.83
UMATILLA,6/5/2004,Hail,59,45.48,-118.83
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.48,-118.83
UMATILLA,06/30/2008,Thunderstorm Wind,59,45.7,-118.83
UMATILLA,03/20/2013,Thunderstorm Wind,59,45.7,-118.83
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.7,-118.83
UMATILLA,06/21/2008,Thunderstorm Wind,59,45.7,-118.83
UMATILLA,6/9/2010,Hail,59,45.49,-118.84
UMATILLA,5/8/2007,Thunderstorm Wind,59,45.67,-118.84
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.68,-118.84
UMATILLA,6/4/2009,Thunderstorm Wind,59,45.69,-118.85
HARNEY,6/12/2006,Hail,25,43.02,-118.88
UMATILLA,08/18/2008,Hail,59,45.4,-118.88
UMATILLA,6/4/2009,Thunderstorm Wind,59,45.67,-118.88
UMATILLA,08/18/2008,Thunderstorm Wind,59,45.44,-118.89
UMATILLA,08/18/2008,Hail,59,45.44,-118.89
GRANT,5/8/2013,Hail,23,44.41,-118.9
UMATILLA,06/21/2008,Thunderstorm Wind,59,45.67,-118.9
UMATILLA,05/29/2009,Hail,59,45.13,-118.91
UMATILLA,7/5/2006,Hail,59,45.13,-118.92
UMATILLA,06/21/2005,Thunderstorm Wind,59,45.13,-118.93
UMATILLA,6/4/2007,Hail,59,45.13,-118.93
UMATILLA,06/30/2008,Thunderstorm Wind,59,45.14,-118.94
GRANT,6/4/2007,Hail,23,45.,-118.95
GRANT,5/3/2012,Thunderstorm Wind,23,45.,-118.95
GRANT,07/19/2004,Thunderstorm Wind,23,44.42,-118.95
UMATILLA,05/14/2011,Hail,59,45.78,-118.96
UMATILLA,04/17/2010,Hail,59,45.58,-118.98
UMATILLA,05/17/2010,Hail,59,45.54,-118.99
UMATILLA,07/19/2004,Hail,59,45.03,-119.
UMATILLA,04/17/2010,Hail,59,45.45,-119.
UMATILLA,08/16/2013,Thunderstorm Wind,59,45.35,-119.02
HARNEY,7/3/2009,Hail,25,43.59,-119.06
HARNEY,7/2/2006,Hail,25,43.57,-119.08
GRANT,8/4/2004,Hail,23,44.72,-119.1
GRANT,06/30/2008,Thunderstorm Wind,23,44.42,-119.12
GRANT,07/19/2004,Hail,23,44.88,-119.13
UMATILLA,03/13/2011,Thunderstorm Wind,59,45.84,-119.16
UMATILLA,07/20/2012,Hail,59,45.83,-119.18
UMATILLA,07/20/2012,Hail,59,45.74,-119.19
GRANT,07/19/2004,Tornado,23,44.88,-119.2
UMATILLA,04/15/2006,Thunderstorm Wind,59,45.75,-119.2
UMATILLA,7/8/2012,Thunderstorm Wind,59,45.75,-119.2
UMATILLA,04/15/2006,Thunderstorm Wind,59,45.78,-119.22
MORROW,7/5/2006,Hail,49,45.13,-119.25
GRANT,8/8/2006,Hail,23,44.15,-119.27
MORROW,7/5/2006,Hail,49,45.35,-119.27
UMATILLA,05/23/2004,Tornado,59,45.75,-119.27
UMATILLA,04/23/2012,Thunderstorm Wind,59,45.83,-119.27
MORROW,7/5/2006,Hail,49,45.27,-119.28
UMATILLA,7/8/2012,Thunderstorm Wind,59,45.75,-119.28
UMATILLA,04/23/2005,Hail,59,45.78,-119.28
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.83,-119.28
UMATILLA,04/15/2006,Thunderstorm Wind,59,45.83,-119.28
UMATILLA,04/23/2012,Thunderstorm Wind,59,45.84,-119.28
MORROW,05/14/2011,Hail,49,45.23,-119.29
MORROW,07/17/2012,Hail,49,45.23,-119.3
MORROW,9/5/2013,Hail,49,45.23,-119.3
UMATILLA,04/23/2012,Thunderstorm Wind,59,45.84,-119.3
MORROW,9/5/2013,Hail,49,45.24,-119.31
UMATILLA,8/8/2008,Hail,59,45.82,-119.32
MORROW,07/17/2012,Hail,49,45.3,-119.33
UMATILLA,04/23/2012,Thunderstorm Wind,59,45.91,-119.33
UMATILLA,05/19/2006,Thunderstorm Wind,59,45.92,-119.33
UMATILLA,07/30/2010,Thunderstorm Wind,59,45.84,-119.34
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.91,-119.34
UMATILLA,04/23/2012,Thunderstorm Wind,59,45.71,-119.36
UMATILLA,05/19/2006,Thunderstorm Wind,59,45.9,-119.37
UMATILLA,09/15/2013,Thunderstorm Wind,59,45.62,-119.44
MORROW,06/29/2008,Thunderstorm Wind,49,45.89,-119.49
MORROW,09/15/2013,Thunderstorm Wind,49,45.9,-119.49
MORROW,09/15/2013,Thunderstorm Wind,49,45.9,-119.49
MORROW,6/12/2006,Hail,49,45.35,-119.55
MORROW,07/17/2012,Hail,49,45.35,-119.55
MORROW,4/4/2013,Thunderstorm Wind,49,45.39,-119.55
MORROW,09/15/2013,Thunderstorm Wind,49,45.75,-119.62
MORROW,6/4/2009,Hail,49,45.17,-119.67
MORROW,09/15/2013,Thunderstorm Wind,49,45.82,-119.67
MORROW,8/7/2006,Hail,49,45.07,-119.68
MORROW,06/29/2004,Hail,49,45.17,-119.68
MORROW,05/19/2006,Tornado,49,45.83,-119.68
MORROW,07/17/2012,Hail,49,45.45,-119.69
MORROW,04/14/2011,Tornado,49,45.42,-119.71
MORROW,05/19/2006,Thunderstorm Wind,49,45.83,-119.72
WHEELER,6/4/2009,Thunderstorm Wind,69,44.83,-119.78
MORROW,09/15/2013,Hail,49,45.44,-119.79
MORROW,8/4/2004,Hail,49,45.28,-119.8
MORROW,08/31/2007,Hail,49,45.53,-119.81
MORROW,8/8/2008,Hail,49,45.53,-119.81
MORROW,05/19/2006,Thunderstorm Wind,49,45.68,-119.83
CROOK,08/19/2004,Hail,13,43.95,-119.87
WHEELER,08/31/2007,Hail,69,44.91,-119.87
HARNEY,06/13/2006,Tornado,25,43.48,-119.88
LAKE,6/3/2009,Hail,37,42.46,-119.9
MORROW,05/19/2006,Hail,49,45.72,-119.9
MORROW,05/19/2006,Thunderstorm Wind,49,45.72,-119.9
WHEELER,06/30/2006,Hail,69,44.72,-119.97
GILLIAM,8/4/2004,Hail,21,45.15,-120.
GILLIAM,8/5/2004,Hail,21,45.15,-120.
WHEELER,8/4/2009,Thunderstorm Wind,69,44.86,-120.04
GILLIAM,05/17/2010,Hail,21,45.13,-120.04
WHEELER,07/19/2004,Thunderstorm Wind,69,44.58,-120.07
CROOK,06/29/2004,Hail,13,44.1,-120.08
WHEELER,7/8/2012,Hail,69,44.64,-120.08
WHEELER,06/30/2006,Hail,69,44.73,-120.12
WHEELER,06/30/2006,Hail,69,44.73,-120.12
WHEELER,8/4/2004,Hail,69,45.07,-120.13
WHEELER,6/12/2006,Hail,69,44.9,-120.15
WHEELER,8/4/2009,Thunderstorm Wind,69,44.75,-120.18
GILLIAM,5/7/2004,Hail,21,45.23,-120.18
GILLIAM,05/19/2006,Thunderstorm Wind,21,45.45,-120.18
GILLIAM,08/28/2011,Thunderstorm Wind,21,45.4,-120.2
WHEELER,04/23/2012,Hail,69,45.,-120.22
CROOK,07/19/2004,Hail,13,44.32,-120.32
LAKE,7/6/2007,Hail,37,42.21,-120.35
WHEELER,6/12/2006,Hail,69,44.7,-120.35
LAKE,8/2/2009,Thunderstorm Wind,37,42.61,-120.4
JEFFERSON,6/12/2006,Thunderstorm Wind,31,44.73,-120.4
GILLIAM,03/13/2011,Thunderstorm Wind,21,45.38,-120.46
WASCO,04/23/2012,Hail,65,44.92,-120.47
WASCO,05/19/2010,Thunderstorm Wind,65,45.03,-120.54
SHERMAN,03/13/2011,Thunderstorm Wind,55,45.03,-120.54
SHERMAN,05/16/2010,Hail,55,45.49,-120.55
CROOK,8/7/2006,Hail,13,44.12,-120.57
CROOK,8/7/2006,Hail,13,44.17,-120.57
LAKE,8/2/2009,Thunderstorm Wind,37,43.26,-120.6
LAKE,07/22/2008,Hail,37,43.24,-120.62
SHERMAN,9/5/2013,Hail,55,45.4,-120.62
SHERMAN,08/25/2013,Hail,55,45.24,-120.63
CROOK,8/7/2008,Hail,13,44.13,-120.69
SHERMAN,05/16/2010,Hail,55,45.23,-120.74
CROOK,8/7/2008,Hail,13,44.17,-120.75
JEFFERSON,8/7/2008,Hail,31,44.73,-120.75
WASCO,8/8/2008,Hail,65,44.82,-120.75
SHERMAN,05/16/2010,Hail,55,45.21,-120.75
LAKE,08/21/2005,Tornado,37,42.97,-120.77
CROOK,7/12/2009,Hail,13,44.23,-120.77
SHERMAN,05/19/2006,Thunderstorm Wind,55,45.37,-120.78
SHERMAN,05/19/2006,Hail,55,45.37,-120.78
CROOK,8/4/2009,Hail,13,44.18,-120.79
CROOK,8/7/2008,Hail,13,44.23,-120.79
CROOK,7/8/2012,Hail,13,44.45,-120.79
SHERMAN,03/13/2011,Thunderstorm Wind,55,45.33,-120.79
JEFFERSON,04/23/2012,Hail,31,44.75,-120.81
CROOK,6/12/2006,Hail,13,44.28,-120.82
CROOK,7/3/2006,Hail,13,44.28,-120.82
CROOK,7/2/2008,Hail,13,44.29,-120.82
CROOK,7/2/2008,Hail,13,44.31,-120.82
CROOK,8/7/2008,Hail,13,44.31,-120.82
SHERMAN,05/19/2006,Thunderstorm Wind,55,45.42,-120.82
CROOK,7/8/2012,Hail,13,44.29,-120.83
CROOK,7/8/2012,Hail,13,44.3,-120.83
CROOK,8/2/2009,Thunderstorm Wind,13,44.3,-120.83
CROOK,06/29/2004,Hail,13,44.3,-120.83
CROOK,6/12/2006,Hail,13,44.3,-120.83
CROOK,6/12/2006,Thunderstorm Wind,13,44.3,-120.83
CROOK,08/13/2004,Thunderstorm Wind,13,44.3,-120.83
CROOK,6/12/2006,Hail,13,44.32,-120.83
CROOK,6/12/2006,Hail,13,44.32,-120.83
CROOK,7/3/2006,Hail,13,44.32,-120.83
CROOK,7/3/2006,Hail,13,44.32,-120.83
CROOK,06/29/2004,Thunderstorm Wind,13,44.32,-120.83
CROOK,6/12/2006,Hail,13,44.32,-120.83
CROOK,6/12/2006,Hail,13,44.35,-120.83
CROOK,08/16/2013,Hail,13,44.31,-120.84
CROOK,7/12/2009,Hail,13,44.38,-120.84
CROOK,7/12/2009,Hail,13,44.33,-120.85
CROOK,8/2/2009,Thunderstorm Wind,13,44.33,-120.85
CROOK,6/12/2006,Hail,13,44.32,-120.87
DESCHUTES,07/24/2004,Thunderstorm Wind,17,43.67,-120.88
CROOK,6/12/2006,Hail,13,44.28,-120.88
LAKE,8/6/2010,Hail,37,42.4,-120.9
CROOK,08/25/2013,Hail,13,44.31,-120.94
CROOK,6/12/2006,Hail,13,44.3,-120.95
CROOK,08/16/2013,Hail,13,44.25,-120.96
CROOK,8/7/2008,Hail,13,44.29,-120.97
DESCHUTES,8/7/2006,Hail,17,43.7,-120.98
CROOK,6/12/2006,Hail,13,44.3,-120.98
WASCO,8/10/2013,Hail,65,45.04,-120.99
DESCHUTES,08/13/2004,Thunderstorm Wind,17,44.08,-121.02
CROOK,8/7/2008,Hail,13,44.17,-121.04
LAKE,8/5/2012,Thunderstorm Wind,37,43.13,-121.05
LAKE,7/9/2006,Hail,37,43.37,-121.05
LAKE,8/2/2009,Thunderstorm Wind,37,43.51,-121.05
LAKE,07/25/2010,Hail,37,43.12,-121.06
JEFFERSON,08/25/2013,Thunderstorm Wind,31,44.68,-121.06
WASCO,6/4/2009,Thunderstorm Wind,65,45.17,-121.07
CROOK,6/12/2006,Hail,13,44.2,-121.08
WASCO,05/19/2006,Hail,65,45.17,-121.08
DESCHUTES,8/2/2009,Thunderstorm Wind,17,44.07,-121.09
DESCHUTES,6/12/2006,Hail,17,44.08,-121.1
JEFFERSON,6/4/2009,Thunderstorm Wind,31,44.66,-121.1
WASCO,06/29/2008,Thunderstorm Wind,65,45.16,-121.1
JEFFERSON,08/25/2013,Hail,31,44.62,-121.12
JEFFERSON,6/4/2009,Thunderstorm Wind,31,44.63,-121.13
JEFFERSON,08/25/2013,Hail,31,44.63,-121.13
JEFFERSON,08/25/2013,Hail,31,44.63,-121.13
JEFFERSON,6/4/2009,Thunderstorm Wind,31,44.63,-121.13
DESCHUTES,08/25/2013,Hail,17,44.37,-121.14
DESCHUTES,07/24/2004,Hail,17,43.97,-121.15
DESCHUTES,05/18/2006,Hail,17,44.12,-121.15
JEFFERSON,6/9/2004,Tornado,31,44.63,-121.15
JEFFERSON,03/13/2011,Thunderstorm Wind,31,44.67,-121.15
DESCHUTES,05/29/2009,Hail,17,44.01,-121.16
DESCHUTES,6/4/2009,Hail,17,44.35,-121.17
DESCHUTES,08/30/2007,Hail,17,44.27,-121.18
DESCHUTES,8/7/2008,Hail,17,44.27,-121.18
DESCHUTES,04/14/2010,Hail,17,44.28,-121.18
DESCHUTES,8/2/2009,Hail,17,44.29,-121.18
DESCHUTES,08/18/2008,Hail,17,44.28,-121.19
LAKE,8/12/2013,Hail,37,43.36,-121.2
DESCHUTES,08/30/2007,Thunderstorm Wind,17,44.27,-121.21
DESCHUTES,05/29/2009,Hail,17,43.98,-121.22
JEFFERSON,07/23/2006,Thunderstorm Wind,31,44.52,-121.22
JEFFERSON,8/1/2009,Hail,31,44.52,-121.22
JEFFERSON,8/1/2009,Thunderstorm Wind,31,44.52,-121.22
DESCHUTES,05/29/2009,Hail,17,44.,-121.23
DESCHUTES,6/12/2006,Hail,17,44.07,-121.23
DESCHUTES,6/12/2006,Hail,17,44.07,-121.23
DESCHUTES,8/12/2013,Hail,17,44.13,-121.23
JEFFERSON,8/1/2009,Thunderstorm Wind,31,44.69,-121.23
JEFFERSON,8/7/2008,Hail,31,44.39,-121.24
DESCHUTES,06/19/2005,Hail,17,44.03,-121.25
JEFFERSON,07/14/2012,Hail,31,44.49,-121.25
JEFFERSON,07/14/2012,Hail,31,44.56,-121.25
JEFFERSON,05/29/2009,Hail,31,44.77,-121.25
WASCO,8/4/2004,Thunderstorm Wind,65,45.23,-121.25
DESCHUTES,08/30/2007,Thunderstorm Wind,17,44.2,-121.26
DESCHUTES,08/19/2004,Hail,17,44.02,-121.27
DESCHUTES,6/12/2006,Hail,17,44.02,-121.27
DESCHUTES,07/26/2010,Hail,17,44.04,-121.28
DESCHUTES,7/9/2006,Hail,17,44.05,-121.28
DESCHUTES,6/9/2009,Hail,17,44.08,-121.28
DESCHUTES,06/19/2005,Hail,17,44.17,-121.28
JEFFERSON,04/23/2012,Hail,31,44.43,-121.28
JEFFERSON,9/5/2013,Thunderstorm Wind,31,44.77,-121.29
DESCHUTES,06/19/2005,Hail,17,43.85,-121.3
DESCHUTES,08/19/2004,Hail,17,44.02,-121.3
DESCHUTES,06/19/2005,Hail,17,44.02,-121.3
DESCHUTES,06/19/2005,Hail,17,44.02,-121.3
DESCHUTES,6/12/2006,Hail,17,44.02,-121.3
DESCHUTES,8/2/2004,Hail,17,44.03,-121.3
DESCHUTES,6/3/2004,Thunderstorm Wind,17,44.07,-121.3
DESCHUTES,06/19/2005,Hail,17,44.07,-121.3
DESCHUTES,6/12/2006,Hail,17,44.07,-121.3
DESCHUTES,7/9/2006,Thunderstorm Wind,17,44.07,-121.3
DESCHUTES,6/12/2006,Hail,17,44.12,-121.3
JEFFERSON,6/3/2007,Hail,31,44.68,-121.3
DESCHUTES,08/30/2007,Thunderstorm Wind,17,44.06,-121.31
DESCHUTES,8/4/2011,Hail,17,44.07,-121.31
DESCHUTES,9/5/2013,Hail,17,44.07,-121.31
DESCHUTES,06/19/2005,Hail,17,44.03,-121.32
DESCHUTES,06/19/2005,Hail,17,44.03,-121.32
DESCHUTES,07/26/2010,Hail,17,44.05,-121.32
DESCHUTES,08/19/2004,Hail,17,44.,-121.33
DESCHUTES,6/12/2006,Hail,17,44.,-121.33
DESCHUTES,8/5/2012,Hail,17,44.01,-121.33
DESCHUTES,06/19/2005,Hail,17,44.02,-121.33
DESCHUTES,8/4/2011,Hail,17,44.06,-121.33
DESCHUTES,6/12/2006,Hail,17,44.12,-121.33
DESCHUTES,08/25/2013,Hail,17,44.15,-121.33
KLAMATH,6/3/2009,Hail,35,42.43,-121.35
DESCHUTES,05/28/2005,Hail,17,43.97,-121.35
DESCHUTES,08/19/2004,Hail,17,44.03,-121.35
DESCHUTES,08/18/2008,Hail,17,44.03,-121.36
DESCHUTES,8/5/2012,Hail,17,43.99,-121.37
JEFFERSON,5/8/2005,Hail,31,44.52,-121.37
JEFFERSON,9/5/2013,Thunderstorm Wind,31,44.59,-121.37
WASCO,08/17/2010,Hail,65,45.11,-121.37
WASCO,08/17/2010,Thunderstorm Wind,65,45.11,-121.37
DESCHUTES,6/12/2006,Hail,17,44.,-121.38
JEFFERSON,08/18/2008,Hail,31,44.52,-121.38
KLAMATH,7/6/2007,Thunderstorm Wind,35,42.02,-121.4
KLAMATH,7/6/2007,Hail,35,42.21,-121.4
KLAMATH,7/6/2007,Thunderstorm Wind,35,42.21,-121.4
DESCHUTES,06/19/2005,Hail,17,43.88,-121.4
DESCHUTES,6/12/2006,Hail,17,43.9,-121.4
DESCHUTES,06/29/2008,Hail,17,44.15,-121.43
DESCHUTES,8/4/2004,Hail,17,44.22,-121.43
DESCHUTES,06/29/2008,Hail,17,44.22,-121.43
DESCHUTES,7/8/2012,Hail,17,43.71,-121.45
DESCHUTES,8/7/2006,Hail,17,43.85,-121.45
DESCHUTES,08/18/2008,Hail,17,43.71,-121.46
DESCHUTES,8/7/2008,Hail,17,43.8,-121.46
DESCHUTES,9/5/2013,Thunderstorm Wind,17,44.23,-121.46
